ID_UC_G0,city,country,lat,lon,min_lon,min_lat,max_lon,max_lat
7807,﻿Zaria,﻿Nigeria,11.091552081765103,7.709181629486493,7.660838334734586,11.033487797616914,7.7627042446717205,11.155682344706777
7829,﻿Sialkot,﻿Pakistan,32.49980716949484,74.52490876364027,74.40205564863804,32.40460106984638,74.62172825942683,32.59443476283307
7833,﻿Cleveland,﻿United States,41.47565867408103,-81.66260916897896,-81.88045625386036,41.37045792985627,-81.48347397679112,41.61404895515989
7882,﻿Norfolk,﻿United States,36.844399230285724,-76.21972292216716,-76.37141551786877,36.73247838007931,-76.0511571378388,36.97011498249339
7890,﻿Niterói,﻿Brazil,-22.830688413137455,-43.005446139899966,-43.14635055165309,-22.938017718942795,-42.80614003395492,-22.712745716870018
7910,﻿Washington,﻿United States,38.92411725067897,-77.12395430127847,-77.47233374827937,38.69485217924069,-76.81628024129986,39.21974056011045
7915,﻿Xianyang,﻿China,34.3465473523247,108.67036293868891,108.55744348999838,34.283845522490964,108.79621780492613,34.42302278553506
7929,﻿Bazhong City,﻿China,31.860825422852685,106.78537495088,106.70965054317169,31.82739319680658,106.85731962896914,31.904848720746614
7943,﻿Shunqing,﻿China,30.802808072234733,106.08299644368232,106.02487661611046,30.73698523318214,106.14191857060759,30.89124323057981
7958,﻿Samarinda,﻿Indonesia,-0.49749788449028914,117.15271196255775,117.07226353215236,-0.5904045757027228,117.23260300785661,-0.4124729978300385
7959,﻿Baltimore,﻿United States,39.32065499390432,-76.62469932420805,-76.82746118094742,39.210831960922434,-76.44664166509958,39.42475559656316
7961,﻿Uyo,﻿Nigeria,4.995618733379343,7.901731431362221,7.820055069719811,4.822438761324284,8.02133035479724,5.114015481326497
7963,﻿New Delhi,﻿India,28.596939186757194,77.22737874432603,76.8590500823538,28.298078904066127,77.70317932854128,28.892978122593842
7999,﻿Zhangjiakou,﻿China,40.78256539557748,114.87191126014652,114.76374464378611,40.713553422796544,114.93733351432924,40.85732333597891
8006,﻿Xi'an,﻿China,34.261179897700764,108.91450330137589,108.67677568893414,34.10999590918447,109.10634193157546,34.42302278553506
8012,﻿Nashik,﻿India,19.980105245271428,73.79120542660309,73.69725292039836,19.870934795079865,73.86721785017838,20.061409737469845
8013,﻿Kunming,﻿China,25.03153038692592,102.7319161997643,102.6069145321975,24.921721571998592,102.85514543748796,25.173667371703605
8029,﻿Philadelphia,﻿United States,39.97035561752969,-75.14742824829156,-75.38493852154029,39.79971594663387,-74.93606294470612,40.139626372198876
8035,﻿Makassar,﻿Indonesia,-5.1722472316585515,119.45444608244597,119.366088494988,-5.316529068672183,119.5725975317347,-5.049216361629939
8039,﻿Kasur,﻿Pakistan,31.116852000853264,74.45015520227149,74.39949477570379,31.079908470095067,74.48892889330078,31.15713045186437
8047,﻿Rasoi,﻿India,28.832998010851682,77.09081247585189,77.01705765745061,28.756888439608357,77.15369057896908,28.918502448272843
8099,﻿New York City,﻿United States,40.73149428304786,-73.93943152800274,-74.65607522538154,40.44429692538962,-73.16274710856086,41.01920409932211
8100,﻿Vitória,﻿Brazil,-20.328554825414134,-40.34901961813941,-40.45572869566485,-20.40117127397394,-40.2607959608238,-20.243685626423908
8125,﻿Kano,﻿Nigeria,11.987960850078998,8.521562850805909,8.374165677373867,11.8403415588606,8.638574280424772,12.125807696533306
